RegionID,Zipcode,City,SizeRank,2018-01,2018-02,2018-03
97711,94501,Alameda,54,1033558,1045474,1052223
97712,94502,Alameda,7232,919831,927990,928737
97743,94536,Fremont,167,1034634,1051419,1061626
97745,94538,Fremont,346,960777,977475,987761
97746,94539,Fremont,1319,1694266,1717864,1733113
97748,94541,Hayward,349,626981,637412,643700
97749,94542,Hayward,7331,877720,888931,897504
97751,94544,Hayward,256,638365,648209,654312
97752,94545,Hayward,3886,660827,670369,676080
97753,94546,Castro Valley,1051,798630,809121,814449
97757,94550,Livermore,1013,870697,885939,895090
97758,94551,Livermore,1931,754758,764511,770048
97759,94552,Castro Valley,7395,1004582,1016643,1025627
97761,94555,Fremont,3477,1027791,1044081,1056545
97766,94560,Newark,2153,871527,892995,908729
97772,94566,Pleasanton,1373,1223181,1246633,1262126
97774,94568,Dublin,426,974013,994234,1006641
97783,94577,San Leandro,1035,669546,678740,684269
97784,94578,San Leandro,1878,644519,655238,661571
97785,94579,San Leandro,5953,666514,674771,679538
97786,94580,San Lorenzo,4538,640229,651508,658760
97792,94587,Union City,400,883730,896067,904277
97793,94588,Pleasanton,2776,1017910,1034106,1044329
97803,94601,Oakland,1404,547727,558008,562830
97804,94602,Oakland,2962,971118,988043,999207
97807,94605,Oakland,1315,655160,666342,673980
97808,94606,Oakland,1604,678254,688099,693907
97811,94609,Oakland,3881,1059434,1075221,1082720
97812,94610,Oakland,1392,1521057,1533910,1535725
97813,94611,Oakland,967,1406913,1418092,1421596
97819,94618,Oakland,5650,1693894,1721201,1734773
97820,94619,Oakland,4223,767239,776835,781909
97836,94702,Berkeley,5292,1008012,1023324,1033076
97837,94703,Berkeley,4763,1144646,1162746,1173535
97838,94704,Berkeley,4488,1562387,1591598,1595995
97839,94705,Berkeley,6391,1940561,1960636,1966798
97840,94706,Albany,5096,1083719,1100454,1110884
97841,94707,Berkeley,7104,1469176,1484480,1496590
97842,94708,Berkeley,7532,1352659,1374918,1392671
97843,94709,Berkeley,6801,1509569,1529441,1542797
97844,94710,Berkeley,9033,977627,1000493,1018220
